LLM,Total Codes,Correctness Rate (%),Codes With Issues,Issue Rate (%),Total Issues,Avg Issues Per Code,High Severity,Medium Severity,Low Severity,Undefined Severity,High Confidence,Medium Confidence,Low Confidence
AzeroGPT-64b,815,23.19,4,0.49,6,0.01,0,1,5,0,6,0,0
AzeroGPT-64b (easy),271,57.56,1,0.37,1,0,0,0,1,0,1,0,0
AzeroGPT-64b (medium),308,10.71,0,0,0,0,0,0,0,0,0,0,0
AzeroGPT-64b (hard),236,0,3,1.27,5,0.02,0,1,4,0,5,0,0
Claude-3-Haiku,1055,22.18,3,0.28,4,0,0,1,3,0,4,0,0
Claude-3-Haiku (easy),322,60.25,0,0,0,0,0,0,0,0,0,0,0
Claude-3-Haiku (medium),383,8.88,0,0,0,0,0,0,0,0,0,0,0
Claude-3-Haiku (hard),350,1.71,3,0.86,4,0.01,0,1,3,0,4,0,0
Claude-3.5-Sonnet-20240620,880,48.52,1,0.11,1,0,0,1,0,0,1,0,0
Claude-3.5-Sonnet-20240620 (easy),279,87.46,0,0,0,0,0,0,0,0,0,0,0
Claude-3.5-Sonnet-20240620 (medium),331,47.13,0,0,0,0,0,0,0,0,0,0,0
Claude-3.5-Sonnet-20240620 (hard),270,10,1,0.37,1,0,0,1,0,0,1,0,0
Claude-3.5-Sonnet-20241022,1055,48.91,1,0.09,1,0,0,1,0,0,1,0,0
Claude-3.5-Sonnet-20241022 (easy),322,93.17,0,0,0,0,0,0,0,0,0,0,0
Claude-3.5-Sonnet-20241022 (medium),383,44.91,0,0,0,0,0,0,0,0,0,0,0
Claude-3.5-Sonnet-20241022 (hard),350,12.57,1,0.29,1,0,0,1,0,0,1,0,0
Claude-3.7-Sonnet,1055,63.51,0,0,0,0,0,0,0,0,0,0,0
Claude-3.7-Sonnet (easy),322,98.45,0,0,0,0,0,0,0,0,0,0,0
Claude-3.7-Sonnet (medium),383,68.67,0,0,0,0,0,0,0,0,0,0,0
Claude-3.7-Sonnet (hard),350,25.71,0,0,0,0,0,0,0,0,0,0,0
Claude-Opus-4,1042,63.15,0,0,0,0,0,0,0,0,0,0,0
Claude-Opus-4 (easy),322,96.27,0,0,0,0,0,0,0,0,0,0,0
Claude-Opus-4 (medium),383,69.19,0,0,0,0,0,0,0,0,0,0,0
