LLM,Total Codes,Correctness Rate (%),Total Issues,Avg Issues Per Code,Convention (C),Refactor (R),Warning (W),Error (E),Fatal (F),Avg Score
AzeroGPT-64b,815,9.33,7494,9.2,5386,634,966,508,0,3.91
AzeroGPT-64b (easy),271,6.27,1588,5.86,1203,146,143,96,0,3.4
AzeroGPT-64b (medium),308,7.79,2901,9.42,2170,275,217,239,0,3.72
AzeroGPT-64b (hard),236,14.83,3005,12.73,2013,213,606,173,0,4.8
Claude-3-Haiku,1055,7.01,8582,8.13,6670,552,855,505,0,3.85
Claude-3-Haiku (easy),322,7.14,1876,5.83,1533,154,66,123,0,3.75
Claude-3-Haiku (medium),383,6.01,3362,8.78,2573,251,287,251,0,3.5
Claude-3-Haiku (hard),350,8,3344,9.55,2564,147,502,131,0,4.31
Claude-3.5-Sonnet-20240620,880,3.18,8101,9.21,6356,490,841,414,0,3.52
Claude-3.5-Sonnet-20240620 (easy),279,2.87,1730,6.2,1400,140,94,96,0,3.34
Claude-3.5-Sonnet-20240620 (medium),331,2.72,3314,10.01,2598,221,295,200,0,3.15
Claude-3.5-Sonnet-20240620 (hard),270,4.07,3057,11.32,2358,129,452,118,0,4.15
Claude-3.5-Sonnet-20241022,1055,3.03,11744,11.13,9956,667,602,519,0,3.71
Claude-3.5-Sonnet-20241022 (easy),322,3.42,2058,6.39,1760,151,33,114,0,3.66
Claude-3.5-Sonnet-20241022 (medium),383,3.13,4464,11.66,3755,277,182,250,0,3.3
Claude-3.5-Sonnet-20241022 (hard),350,2.57,5222,14.92,4441,239,387,155,0,4.21
Claude-3.7-Sonnet,1055,1.8,12858,12.19,10992,694,688,484,0,3.09
Claude-3.7-Sonnet (easy),322,2.17,2236,6.94,1894,153,78,111,0,3.06
Claude-3.7-Sonnet (medium),383,1.04,4843,12.64,4103,278,222,240,0,2.66
Claude-3.7-Sonnet (hard),350,2.29,5779,16.51,4995,263,388,133,0,3.6
Claude-Opus-4,1042,4.99,11742,11.27,10050,767,423,502,0,3.84
Claude-Opus-4 (easy),322,5.9,2018,6.27,1754,148,3,113,0,3.76
Claude-Opus-4 (medium),383,6.27,4446,11.61,3789,295,116,246,0,3.41
Claude-Opus-4 (hard),337,2.67,5278,15.66,4507,324,304,143,0,4.41
Claude-Opus-4 (Thinking),1052,9.13,10175,9.67,8640,673,367,495,0,4.13
Claude-Opus-4 (Thinking) (easy),322,5.28,1835,5.7,1574,146,2,113,0,3.69
Claude-Opus-4 (Thinking) (medium),382,9.42,3769,9.87,3190,274,61,244,0,3.66
Claude-Opus-4 (Thinking) (hard),348,12.36,4571,13.14,3876,253,304,138,0,5.04
Claude-Sonnet-4,1048,4.39,11365,10.84,9797,693,362,513,0,3.79
Claude-Sonnet-4 (easy),322,5.28,2011,6.25,1740,154,3,114,0,3.84
Claude-Sonnet-4 (medium),383,5.48,4469,11.67,3807,299,118,245,0,3.43
Claude-Sonnet-4 (hard),343,2.33,4885,14.24,4250,240,241,154,0,4.16
Claude-Sonnet-4 (Thinking),1054,7.31,10362,9.83,8855,685,332,490,0,4.15
Claude-Sonnet-4 (Thinking) (easy),322,5.9,1823,5.66,1558,146,6,113,0,3.76
Claude-Sonnet-4 (Thinking) (medium),383,8.09,3978,10.39,3371,282,82,243,0,3.64
Claude-Sonnet-4 (Thinking) (hard),349,7.74,4561,13.07,3926,257,244,134,0,5.07
Codestral-Latest,876,12.67,6021,6.87,4383,474,804,360,0,4.75
Codestral-Latest (easy),278,7.55,1442,5.19,1121,132,96,93,0,4.21
Codestral-Latest (medium),329,11.85,2360,7.17,1691,222,276,171,0,4.55
Codestral-Latest (hard),269,18.96,2219,8.25,1571,120,432,96,0,5.57
DSCoder-1.3b-Ins,704,3.12,3789,5.38,2935,380,163,311,0,3.21
DSCoder-1.3b-Ins (easy),234,3.85,1182,5.05,906,131,57,88,0,3.23
DSCoder-1.3b-Ins (medium),279,2.15,1634,5.86,1249,179,61,145,0,2.83
DSCoder-1.3b-Ins (hard),191,3.66,973,5.09,780,70,45,78,0,3.81
DSCoder-33b-Ins,709,11,4233,5.97,3275,389,289,280,0,4.25
DSCoder-33b-Ins (easy),238,6.72,1134,4.76,895,124,36,79,0,3.83
DSCoder-33b-Ins (medium),276,9.78,1790,6.49,1355,184,125,126,0,4.08
DSCoder-33b-Ins (hard),195,17.95,1309,6.71,1025,81,128,75,0,5.01
DSCoder-6.7b-Ins,708,6.5,5011,7.08,3892,399,387,333,0,3.76
DSCoder-6.7b-Ins (easy),238,4.62,1282,5.39,1011,120,69,82,0,3.52
DSCoder-6.7b-Ins (medium),277,5.42,2123,7.66,1625,193,154,151,0,3.46
DSCoder-6.7b-Ins (hard),193,10.36,1606,8.32,1256,86,164,100,0,4.48
DeepCoder-14B-Preview,858,11.19,10119,11.79,8466,1031,278,344,0,4.95
DeepCoder-14B-Preview (easy),277,8.66,1539,5.56,1248,185,8,98,0,4.28
DeepCoder-14B-Preview (medium),322,11.8,3838,11.92,3182,420,79,157,0,4.84
DeepCoder-14B-Preview (hard),259,13.13,4742,18.31,4036,426,191,89,0,5.81
DeepSeek-R1-0528,1055,6.35,10782,10.22,8787,1365,187,443,0,4.89
DeepSeek-R1-0528 (easy),322,1.86,2053,6.38,1734,189,22,108,0,3.84
DeepSeek-R1-0528 (medium),383,5.48,3705,9.67,2997,464,43,201,0,4.65
DeepSeek-R1-0528 (hard),350,11.43,5024,14.35,4056,712,122,134,0,6.23
DeepSeek-R1-Lite-Preview,841,3.69,9026,10.73,7546,887,416,177,0,4.67
DeepSeek-R1-Lite-Preview (easy),278,5.4,1670,6.01,1450,160,22,38,0,4.52
DeepSeek-R1-Lite-Preview (medium),326,1.84,3717,11.4,3111,375,148,83,0,4.42
DeepSeek-R1-Lite-Preview (hard),237,4.22,3639,15.35,2985,352,246,56,0,5.21
DeepSeek-R1-Preview,878,12.53,8076,9.2,6541,1035,281,219,0,5.39
DeepSeek-R1-Preview (easy),279,7.17,1317,4.72,1084,168,3,62,0,4.42
DeepSeek-R1-Preview (medium),331,14.5,3073,9.28,2478,422,77,96,0,5.45
DeepSeek-R1-Preview (hard),268,15.67,3686,13.75,2979,445,201,61,0,6.33
DeepSeek-V3,961,3.54,11127,11.58,9118,976,587,446,0,3.95
DeepSeek-V3 (easy),309,6.15,1945,6.29,1556,211,70,108,0,4.06
DeepSeek-V3 (medium),353,2.27,4374,12.39,3517,400,242,215,0,3.52
DeepSeek-V3 (hard),299,2.34,4808,16.08,4045,365,275,123,0,4.34
DeepSeek-V3 copy,856,3.5,9790,11.44,8084,803,521,382,0,3.82
DeepSeek-V3 copy (easy),279,6.45,1680,6.02,1349,171,62,98,0,4.02
DeepSeek-V3 copy (medium),322,1.86,3807,11.82,3088,330,203,186,0,3.44
DeepSeek-V3 copy (hard),255,2.35,4303,16.87,3647,302,256,98,0,4.09
EXAONE-4.0-32B,1052,2.66,11650,11.07,9738,1352,154,406,0,4.89
EXAONE-4.0-32B (easy),322,0.62,2156,6.7,1854,184,24,94,0,3.94
EXAONE-4.0-32B (medium),382,2.62,4241,11.1,3539,479,50,173,0,4.74
EXAONE-4.0-32B (hard),348,4.6,5253,15.09,4345,689,80,139,0,6.06
GPT-4-0613,713,14.45,3890,5.46,3187,398,170,135,0,4.86
GPT-4-0613 (easy),238,5.04,1042,4.38,877,122,9,34,0,4.03
GPT-4-0613 (medium),279,17.56,1620,5.81,1328,179,52,61,0,4.81
GPT-4-0613 (hard),196,21.43,1228,6.27,982,97,109,40,0,5.99
GPT-4-Turbo-1106,713,3.93,5901,8.28,4794,393,527,187,0,3.64
GPT-4-Turbo-1106 (easy),238,3.36,1384,5.82,1137,111,69,67,0,3.3
GPT-4-Turbo-1106 (medium),279,2.15,2542,9.11,2044,192,229,77,0,3.36
GPT-4-Turbo-1106 (hard),196,7.14,1975,10.08,1613,90,229,43,0,4.46
GPT-4-Turbo-2024-04-09,1055,1.61,13631,12.92,11494,712,906,519,0,2.86
GPT-4-Turbo-2024-04-09 (easy),322,0.31,2979,9.25,2497,163,204,115,0,2.66
GPT-4-Turbo-2024-04-09 (medium),383,1.04,5263,13.74,4396,309,310,248,0,2.45
GPT-4-Turbo-2024-04-09 (hard),350,3.43,5389,15.4,4601,240,392,156,0,3.55
GPT-4O-2024-05-13,880,2.95,9670,10.99,7644,537,1218,271,0,3.18
GPT-4O-2024-05-13 (easy),279,2.15,2244,8.04,1769,149,259,67,0,3.02
GPT-4O-2024-05-13 (medium),331,1.81,3960,11.96,3090,243,484,143,0,2.64
GPT-4O-2024-05-13 (hard),270,5.19,3466,12.84,2785,145,475,61,0,4.04
GPT-4O-2024-08-06,1047,0,13679,13.06,11489,685,1147,358,0,2.48
GPT-4O-2024-08-06 (easy),322,0,3294,10.23,2719,179,296,100,0,1.71
GPT-4O-2024-08-06 (medium),383,0,5083,13.27,4212,295,400,176,0,2.34
GPT-4O-2024-08-06 (hard),342,0,5302,15.5,4558,211,451,82,0,3.39
GPT-4O-mini-2024-07-18,1054,0.19,12901,12.24,10309,599,1651,342,0,2.54
GPT-4O-mini-2024-07-18 (easy),322,0.62,3039,9.44,2417,171,372,79,0,2.19
GPT-4O-mini-2024-07-18 (medium),382,0,4854,12.71,3837,263,606,148,0,2.38
GPT-4O-mini-2024-07-18 (hard),350,0,5008,14.31,4055,165,673,115,0,3.09
Gemini-2.5-Flash-04-17,1033,7.16,13109,12.69,10955,909,1195,50,0,4.87
Gemini-2.5-Flash-04-17 (easy),321,6.54,2060,6.42,1854,163,34,9,0,4.67
Gemini-2.5-Flash-04-17 (medium),377,7.43,4572,12.13,3921,321,311,19,0,4.73
Gemini-2.5-Flash-04-17 (hard),335,7.46,6477,19.33,5180,425,850,22,0,5.24
Gemini-2.5-Flash-05-20,1053,0.85,12212,11.6,10838,826,262,286,0,3.67
Gemini-2.5-Flash-05-20 (easy),322,1.55,2372,7.37,2153,167,24,28,0,3.76
Gemini-2.5-Flash-05-20 (medium),383,1.04,4758,12.42,4227,325,116,90,0,3.36
Gemini-2.5-Flash-05-20 (hard),348,0,5082,14.6,4458,334,122,168,0,4
Gemini-2.5-Pro-03-25,1042,3.17,28435,27.29,21717,1130,5544,44,0,2.33
Gemini-2.5-Pro-03-25 (easy),320,7.81,3059,9.56,2582,164,308,5,0,3.8
Gemini-2.5-Pro-03-25 (medium),379,1.85,10853,28.64,8029,385,2429,10,0,1.61
Gemini-2.5-Pro-03-25 (hard),343,0.29,14523,42.34,11106,581,2807,29,0,1.69
Gemini-2.5-Pro-05-06,1054,0.66,22965,21.79,13650,1080,8018,217,0,2.46
Gemini-2.5-Pro-05-06 (easy),322,1.86,3384,10.51,2453,171,745,15,0,3
Gemini-2.5-Pro-05-06 (medium),383,0.26,9205,24.03,5113,378,3630,84,0,1.63
Gemini-2.5-Pro-05-06 (hard),349,0,10376,29.73,6084,531,3643,118,0,2.85
Gemini-2.5-Pro-06-05,1055,6.16,14121,13.38,10817,1052,2159,93,0,4.3
Gemini-2.5-Pro-06-05 (easy),322,4.04,2968,9.22,1950,156,846,16,0,2.7
Gemini-2.5-Pro-06-05 (medium),383,5.48,4777,12.47,3812,322,605,38,0,4.35
Gemini-2.5-Pro-06-05 (hard),350,8.86,6376,18.22,5055,574,708,39,0,5.79
Gemini-Exp-1206,795,11.82,5557,6.99,4489,549,203,316,0,4.86
Gemini-Exp-1206 (easy),276,7.61,1499,5.43,1244,140,38,77,0,4.27
Gemini-Exp-1206 (medium),302,10.93,2303,7.63,1835,250,66,152,0,4.73
Gemini-Exp-1206 (hard),217,18.43,1755,8.09,1410,159,99,87,0,5.79
Gemini-Flash-1.5-002,848,17.69,5898,6.96,4537,554,421,386,0,5
Gemini-Flash-1.5-002 (easy),279,8.96,1565,5.61,1178,151,139,97,0,4.17
Gemini-Flash-1.5-002 (medium),320,16.56,2499,7.81,1911,242,163,183,0,4.85
Gemini-Flash-1.5-002 (hard),249,28.92,1834,7.37,1448,161,119,106,0,6.11
Gemini-Flash-2.0-Exp,1005,7.96,18263,18.17,16393,767,648,455,0,4.19
Gemini-Flash-2.0-Exp (easy),321,3.43,2084,6.49,1516,165,292,111,0,3.38
Gemini-Flash-2.0-Exp (medium),361,6.37,3480,9.64,2776,349,128,227,0,3.96
Gemini-Flash-2.0-Exp (hard),323,14.24,12699,39.32,12101,253,228,117,0,5.24
Gemini-Flash-2.0-Exp (N=10),777,6.95,6348,8.17,5147,500,421,280,0,4.4
Gemini-Flash-2.0-Exp (N=10) (easy),273,4.76,1748,6.4,1311,144,208,85,0,3.69
Gemini-Flash-2.0-Exp (N=10) (medium),286,5.24,2595,9.07,2123,219,108,145,0,4.18
Gemini-Flash-2.0-Exp (N=10) (hard),218,11.93,2005,9.2,1713,137,105,50,0,5.58
Gemini-Flash-2.0-Thinking,848,30.66,5043,5.95,3681,666,350,346,0,5.91
Gemini-Flash-2.0-Thinking (easy),279,13.98,1345,4.82,1093,137,27,88,0,5.01
Gemini-Flash-2.0-Thinking (medium),325,30.77,2061,6.34,1477,296,117,171,0,5.82
Gemini-Flash-2.0-Thinking (hard),244,49.59,1637,6.71,1111,233,206,87,0,7.07
Gemini-Flash-2.0-Thinking-01-21,1021,9.11,9784,9.58,7890,961,585,348,0,5.33
Gemini-Flash-2.0-Thinking-01-21 (easy),322,8.7,1835,5.7,1510,175,61,89,0,4.84
Gemini-Flash-2.0-Thinking-01-21 (medium),376,9.57,3568,9.49,2903,355,139,171,0,5.19
Gemini-Flash-2.0-Thinking-01-21 (hard),323,8.98,4381,13.56,3477,431,385,88,0,6.01
Gemini-Flash-2.0-Thinking-12-19,1029,9.62,9983,9.7,7989,1022,618,354,0,5.32
Gemini-Flash-2.0-Thinking-12-19 (easy),321,7.79,1865,5.81,1536,188,49,92,0,4.68
Gemini-Flash-2.0-Thinking-12-19 (medium),377,10.88,3584,9.51,2835,401,180,168,0,5.36
Gemini-Flash-2.0-Thinking-12-19 (hard),331,9.97,4534,13.7,3618,433,389,94,0,5.93
Gemini-Pro-1.5-002,860,12.67,6486,7.54,5219,646,186,435,0,4.72
Gemini-Pro-1.5-002 (easy),278,7.55,1538,5.53,1265,150,23,100,0,4.2
Gemini-Pro-1.5-002 (medium),327,12.54,2679,8.19,2124,268,78,209,0,4.42
Gemini-Pro-1.5-002 (hard),255,18.43,2269,8.9,1830,228,85,126,0,5.67
Grok-3-Mini (High),966,22.57,8021,8.3,6600,889,350,182,0,5.65
Grok-3-Mini (High) (easy),322,10.56,1606,4.99,1342,172,8,84,0,4.45
Grok-3-Mini (High) (medium),376,22.87,3276,8.71,2733,402,70,71,0,5.72
Grok-3-Mini (High) (hard),268,36.57,3139,11.71,2525,315,272,27,0,7.05
Kimi-k1.6-IOI,871,7.46,8261,9.48,6771,916,240,334,0,4.87
Kimi-k1.6-IOI (easy),279,5.38,1327,4.76,1091,145,6,85,0,4.05
Kimi-k1.6-IOI (medium),330,9.09,3100,9.39,2526,352,74,148,0,4.84
Kimi-k1.6-IOI (hard),262,7.63,3834,14.63,3154,419,160,101,0,5.81
Kimi-k1.6-IOI-high,880,6.36,8822,10.03,7244,955,308,315,0,4.86
Kimi-k1.6-IOI-high (easy),279,6.45,1325,4.75,1096,149,5,75,0,4.17
Kimi-k1.6-IOI-high (medium),331,7.25,3270,9.88,2684,356,85,145,0,4.74
Kimi-k1.6-IOI-high (hard),270,5.19,4227,15.66,3464,450,218,95,0,5.75
LLama3.3-70b-Ins,707,5.94,5796,8.2,4931,424,430,11,0,4.38
LLama3.3-70b-Ins (easy),238,2.52,1624,6.82,1382,133,109,0,0,3.6
LLama3.3-70b-Ins (medium),278,5.4,2515,9.05,2144,195,175,1,0,4.27
LLama3.3-70b-Ins (hard),191,10.99,1657,8.68,1405,96,146,10,0,5.55
Llama-3_1-Nemotron-Nano-8B-v1,33,18.18,227,6.88,182,33,6,6,0,5
Llama-3_1-Nemotron-Nano-8B-v1 (easy),14,21.43,87,6.21,74,13,0,0,0,4.27
Llama-3_1-Nemotron-Nano-8B-v1 (medium),17,5.88,111,6.53,87,19,2,3,0,5.89
Llama-3_1-Nemotron-Nano-8B-v1 (hard),24,8.33,223,9.29,175,34,5,9,0,5.8
Llama-3_1-Nemotron-Ultra-253B-v1,880,15.11,7064,8.03,5858,925,249,32,0,5.98
Llama-3_1-Nemotron-Ultra-253B-v1 (easy),279,8.96,1222,4.38,1056,163,3,0,0,4.92
Llama-3_1-Nemotron-Ultra-253B-v1 (medium),331,15.71,2636,7.96,2206,359,63,8,0,6.19
Llama-3_1-Nemotron-Ultra-253B-v1 (hard),270,20.74,3206,11.87,2596,403,183,24,0,6.86
MetaStone-L1-7B,862,11.02,7896,9.16,6293,892,351,360,0,5.05
MetaStone-L1-7B (easy),278,8.63,1382,4.97,1110,177,1,94,0,4.36
MetaStone-L1-7B (medium),324,11.73,3074,9.49,2409,368,105,192,0,4.95
MetaStone-L1-7B (hard),260,12.69,3440,13.23,2774,347,245,74,0,5.95
Mistral-Large,880,7.39,6077,6.91,4696,519,782,80,0,5.72
Mistral-Large (easy),279,3.58,1531,5.49,1194,141,168,28,0,4.92
Mistral-Large (medium),331,4.23,2397,7.24,1863,237,278,19,0,5.75
Mistral-Large (hard),270,15.19,2149,7.96,1639,141,336,33,0,6.55
O1-2024-12-17 (High),877,3.76,10748,12.26,9257,886,228,377,0,3.72
O1-2024-12-17 (High) (easy),279,0,2218,7.95,1972,133,30,83,0,2.51
O1-2024-12-17 (High) (medium),331,3.32,3958,11.96,3405,316,51,186,0,3.61
O1-2024-12-17 (High) (hard),267,8.24,4572,17.12,3880,437,147,108,0,5.38
O1-2024-12-17 (Low),880,2.27,11314,12.86,9642,893,308,471,0,3.39
O1-2024-12-17 (Low) (easy),279,0.72,2316,8.3,2043,134,37,102,0,2.34
O1-2024-12-17 (Low) (medium),331,1.81,4247,12.83,3631,342,66,208,0,3.3
O1-2024-12-17 (Low) (hard),270,4.44,4751,17.6,3968,417,205,161,0,4.83
O1-2024-12-17 (Low)_prompt_old,712,0.98,9341,13.12,8089,672,206,374,0,3.37
O1-2024-12-17 (Low)_prompt_old (easy),238,0,2083,8.75,1852,120,25,86,0,2.35
O1-2024-12-17 (Low)_prompt_old (medium),279,1.08,3508,12.57,2988,270,84,166,0,3.46
O1-2024-12-17 (Low)_prompt_old (hard),195,2.05,3750,19.23,3249,282,97,122,0,4.67
O1-2024-12-17 (Med),878,2.39,11985,13.65,10341,955,247,442,0,3.54
O1-2024-12-17 (Med) (easy),279,0,2307,8.27,2047,136,25,99,0,2.41
O1-2024-12-17 (Med) (medium),331,2.11,4253,12.85,3630,359,66,198,0,3.48
O1-2024-12-17 (Med) (hard),268,5.22,5425,20.24,4664,460,156,145,0,5.03
O1-Mini-2024-09-12,874,2.75,9648,11.04,7062,902,1480,204,0,4.49
O1-Mini-2024-09-12 (easy),279,3.23,1660,5.95,1373,157,59,71,0,3.7
O1-Mini-2024-09-12 (medium),330,1.52,3634,11.01,2706,366,481,81,0,4.58
O1-Mini-2024-09-12 (hard),265,3.77,4354,16.43,2983,379,940,52,0,5.29
O1-Preview-2024-09-12,880,5.8,9555,10.86,6775,1008,1373,399,0,4.46
O1-Preview-2024-09-12 (easy),279,9.32,1380,4.95,1112,157,28,83,0,4.1
O1-Preview-2024-09-12 (medium),331,4.23,3644,11.01,2589,395,467,193,0,4.18
O1-Preview-2024-09-12 (hard),270,4.07,4531,16.78,3074,456,878,123,0,5.18
O3 (High),991,15.74,7699,7.77,6570,838,191,100,0,5.67
O3 (High) (easy),321,3.43,2056,6.4,1864,149,23,20,0,4.1
O3 (High) (medium),371,15.9,2788,7.51,2369,322,70,27,0,5.99
O3 (High) (hard),299,28.76,2855,9.55,2337,367,98,53,0,7.13
O3-Mini-2025-01-31 (High),981,1.73,10920,11.13,9564,1021,209,126,0,4.56
O3-Mini-2025-01-31 (High) (easy),321,0.31,2366,7.37,2166,148,31,21,0,3.57
O3-Mini-2025-01-31 (High) (medium),374,1.87,4335,11.59,3828,393,76,38,0,4.62
O3-Mini-2025-01-31 (High) (hard),286,3.15,4219,14.75,3570,480,102,67,0,5.84
O3-Mini-2025-01-31 (Low),940,1.06,10478,11.15,9136,835,315,192,0,4.31
O3-Mini-2025-01-31 (Low) (easy),321,0.62,2611,8.13,2312,163,79,57,0,3.52
O3-Mini-2025-01-31 (Low) (medium),368,0.27,4352,11.83,3814,365,107,66,0,4.45
O3-Mini-2025-01-31 (Low) (hard),251,2.79,3515,14,3010,307,129,69,0,5.26
O3-Mini-2025-01-31 (Med),959,1.98,10740,11.2,9446,928,243,123,0,4.63
O3-Mini-2025-01-31 (Med) (easy),322,0,2448,7.6,2221,158,39,30,0,3.67
O3-Mini-2025-01-31 (Med) (medium),373,2.68,4520,12.12,3988,392,100,40,0,4.77
O3-Mini-2025-01-31 (Med) (hard),264,3.41,3772,14.29,3237,378,104,53,0,5.76
O4-Mini (High),1047,8.5,10004,9.55,7790,1330,686,198,0,5.17
O4-Mini (High) (easy),321,1.25,1998,6.22,1769,153,48,28,0,3.79
O4-Mini (High) (medium),383,6.79,3537,9.23,2812,454,204,67,0,5.26
O4-Mini (High) (hard),343,17.2,4469,13.03,3209,723,434,103,0,6.62
O4-Mini (Low),1026,3.02,10282,10.02,7882,1041,1239,120,0,5.04
O4-Mini (Low) (easy),322,0.31,2175,6.75,1921,158,81,15,0,4.05
O4-Mini (Low) (medium),383,2.35,4039,10.55,3125,425,455,34,0,5.12
O4-Mini (Low) (hard),321,6.54,4068,12.67,2836,458,703,71,0,6.11
O4-Mini (Medium),1038,4.34,10479,10.1,7953,1253,1142,131,0,5.1
O4-Mini (Medium) (easy),322,0.93,2120,6.58,1877,162,57,24,0,3.78
O4-Mini (Medium) (medium),381,3.41,3944,10.35,3022,472,415,35,0,5.27
O4-Mini (Medium) (hard),335,8.66,4415,13.18,3054,619,670,72,0,6.38
OpenCodeReasoning-Nemotron-1.1-32B,1034,0,37497,36.26,8774,1347,26957,419,0,0.18
OpenCodeReasoning-Nemotron-1.1-32B (easy),319,0,5274,16.53,1641,190,3345,98,0,0.39
OpenCodeReasoning-Nemotron-1.1-32B (medium),376,0,12939,34.41,3243,495,9012,189,0,0.09
OpenCodeReasoning-Nemotron-1.1-32B (hard),339,0,19284,56.88,3890,662,14600,132,0,0.07
OpenReasoning-Nemotron-32B,1046,0,39959,38.2,9092,1429,29059,379,0,0.15
OpenReasoning-Nemotron-32B (easy),321,0,5258,16.38,1612,181,3365,100,0,0.37
OpenReasoning-Nemotron-32B (medium),379,0,13275,35.03,3230,481,9413,151,0,0.08
OpenReasoning-Nemotron-32B (hard),346,0,21426,61.92,4250,767,16281,128,0,0.01
QwQ-32B-Preview,813,3.2,8942,11,7486,762,531,163,0,4.48
QwQ-32B-Preview (easy),276,3.99,1815,6.58,1577,162,46,30,0,4.16
QwQ-32B-Preview (medium),319,3.13,3722,11.67,3125,342,179,76,0,4.42
QwQ-32B-Preview (hard),218,2.29,3405,15.62,2784,258,306,57,0,5
QwQ-32B_temp,964,9.54,9187,9.53,7630,1181,238,138,0,5.48
QwQ-32B_temp (easy),321,5.61,1602,4.99,1375,187,16,24,0,4.88
QwQ-32B_temp (medium),368,8.42,3680,10,3078,478,74,50,0,5.48
QwQ-32B_temp (hard),275,15.64,3905,14.2,3177,516,148,64,0,6.2
QwQ-Max-Preview,875,9.26,8522,9.74,6994,1026,311,191,0,5.38
QwQ-Max-Preview (easy),279,7.53,1340,4.8,1140,157,2,41,0,4.7
QwQ-Max-Preview (medium),330,8.48,3184,9.65,2638,374,83,89,0,5.35
QwQ-Max-Preview (hard),266,12.03,3998,15.03,3216,495,226,61,0,6.14
Qwen2-Ins-72B,709,11.42,4941,6.97,3736,471,385,349,0,4.21
Qwen2-Ins-72B (easy),237,4.64,1244,5.25,981,152,29,82,0,3.62
Qwen2-Ins-72B (medium),279,11.47,2062,7.39,1562,205,122,173,0,4.05
Qwen2-Ins-72B (hard),193,19.69,1635,8.47,1193,114,234,94,0,5.23
Qwen2.5-Coder-Ins-32B,658,1.06,6646,10.1,5156,444,986,60,0,3.88
Qwen2.5-Coder-Ins-32B (easy),234,0.85,1577,6.74,1232,135,184,26,0,3.66
Qwen2.5-Coder-Ins-32B (medium),263,1.14,2854,10.85,2242,192,402,18,0,3.73
Qwen2.5-Coder-Ins-32B (hard),161,1.24,2215,13.76,1682,117,400,16,0,4.48
Qwen2.5-Coder-Ins-7B,709,8.32,5190,7.32,3857,406,576,351,0,4.01
Qwen2.5-Coder-Ins-7B (easy),238,6.3,1331,5.59,1030,122,95,84,0,3.86
