LLM,Total Codes,Correctness Rate (%),Avg Complexity,Total Complexity,Avg Maintainability Index,Avg LOC,Total LOC,Total LLOC,Total SLOC,Total Comments,Total Blank,Total Functions,Grade A,Grade B,Grade C,Grade D,Grade E,Grade F
AzeroGPT-64b,815,23.19,11.93,6658,65.6,27.22,21693,17712,17492,1071,2988,1219,541,194,68,7,5,0
AzeroGPT-64b (easy),271,57.56,9.18,1248,74.23,12.67,3408,2818,2742,259,379,260,226,38,6,0,1,0
AzeroGPT-64b (medium),308,10.71,11.78,2851,63.9,26.94,8135,6676,6549,426,1136,469,183,91,30,3,1,0
AzeroGPT-64b (hard),236,0,14.22,2559,57.26,44.91,10150,8218,8201,386,1473,490,132,65,32,4,3,0
Claude-3-Haiku,1055,22.18,10.2,7688,75.9,22.11,23217,16895,16628,2619,3905,1316,629,353,70,3,0,0
Claude-3-Haiku (easy),322,60.25,9.7,1571,82,15.09,4860,3465,3414,676,768,303,256,60,6,0,0,0
Claude-3-Haiku (medium),383,8.88,11.4,3385,74.71,22.92,8731,6347,6238,992,1473,537,198,151,32,2,0,0
Claude-3-Haiku (hard),350,1.71,9.26,2732,71.56,27.74,9626,7083,6976,951,1664,476,175,142,32,1,0,0
Claude-3.5-Sonnet-20240620,880,48.52,8.57,6383,73.81,22.77,19995,14997,14854,1554,3736,1286,556,273,47,4,0,0
Claude-3.5-Sonnet-20240620 (easy),279,87.46,7.46,1372,82.15,13.66,3810,2877,2825,409,621,305,222,54,2,1,0,0
Claude-3.5-Sonnet-20240620 (medium),331,47.13,8.94,2692,71.61,23.65,7827,5799,5765,628,1499,522,189,125,17,0,0,0
Claude-3.5-Sonnet-20240620 (hard),270,10,8.92,2319,67.85,31.19,8358,6321,6264,517,1616,459,145,94,28,3,0,0
Claude-3.5-Sonnet-20241022,1055,48.91,10.36,8430,78.1,31.41,33141,22371,22238,5388,5968,1514,623,319,109,4,0,0
Claude-3.5-Sonnet-20241022 (easy),322,93.17,8.38,1474,82.13,16.74,5391,3691,3675,880,896,315,260,58,4,0,0,0
Claude-3.5-Sonnet-20241022 (medium),383,44.91,10.81,3448,78.73,31.45,12044,8037,7982,2062,2181,592,205,134,43,1,0,0
Claude-3.5-Sonnet-20241022 (hard),350,12.57,11,3508,73.71,44.87,15706,10643,10581,2446,2891,607,158,127,62,3,0,0
Claude-3.7-Sonnet,1055,63.51,10.5,9306,82.22,31.84,33494,21834,21601,6087,6666,1555,572,335,132,14,1,1
Claude-3.7-Sonnet (easy),322,98.45,7.81,1570,89.91,16.62,5351,3432,3410,1150,962,346,259,58,5,0,0,0
Claude-3.7-Sonnet (medium),383,68.67,11.18,3981,81.99,31.79,12142,7833,7753,2333,2418,623,177,145,55,5,1,0
Claude-3.7-Sonnet (hard),350,25.71,11.41,3755,75.37,45.98,16001,10569,10438,2604,3286,586,136,132,72,9,0,1
Claude-Opus-4,1042,63.15,12.23,8182,83.2,34.67,36019,22548,22349,7261,6890,1248,671,230,116,21,3,1
Claude-Opus-4 (easy),322,96.27,9,1260,90.21,17.5,5634,3629,3594,1184,955,275,279,41,2,0,0,0
Claude-Opus-4 (medium),383,69.19,12.27,3263,83.47,34.34,13082,7974,7933,2809,2523,499,231,103,45,4,0,0
Claude-Opus-4 (hard),337,24.63,13.91,3659,76,51.5,17303,10945,10822,3268,3412,474,161,86,69,17,3,1
Claude-Opus-4 (Thinking),1052,70.63,11.51,7046,81.61,29.75,31267,21010,20895,5138,5737,1161,746,218,72,11,4,1
Claude-Opus-4 (Thinking) (easy),322,99.07,8.16,1143,89.2,14.78,4758,3215,3196,899,751,277,285,37,0,0,0,0
Claude-Opus-4 (Thinking) (medium),382,80.63,12.02,2993,81.56,28.65,10945,7232,7204,1907,2019,478,247,100,32,3,0,0
Claude-Opus-4 (Thinking) (hard),348,33.33,13.05,2910,74.63,44.85,15564,10563,10495,2332,2967,406,214,81,40,8,4,1
Claude-Sonnet-4,1048,59.83,10.56,6992,82.75,31.16,32471,21008,20819,5915,6496,1212,711,238,92,7,0,0
Claude-Sonnet-4 (easy),322,96.27,8.36,1196,89.63,17.22,5529,3638,3613,1109,954,280,286,35,1,0,0,0
Claude-Sonnet-4 (medium),383,63.97,11.66,3125,82.18,32.5,12447,7953,7890,2377,2475,499,238,99,42,4,0,0
Claude-Sonnet-4 (hard),343,20.99,10.64,2671,76.54,42.88,14495,9417,9316,2429,3067,433,187,104,49,3,0,0
Claude-Sonnet-4 (Thinking),1054,68.6,10.54,6948,76.41,28.69,30214,21564,21384,3645,5782,1216,737,227,76,9,4,1
Claude-Sonnet-4 (Thinking) (easy),322,98.76,7.83,1127,82.18,13.62,4386,3246,3217,532,721,280,289,33,0,0,0,0
Claude-Sonnet-4 (Thinking) (medium),383,75.98,11.24,3011,77.03,28.17,10789,7562,7504,1426,2100,505,240,107,34,2,0,0
Claude-Sonnet-4 (Thinking) (hard),349,32.66,11.38,2810,70.39,43.22,15039,10756,10663,1687,2961,431,208,87,42,7,4,1
Codestral-Latest,876,35.96,8.72,5160,75.37,25.27,21983,16129,15762,2244,4036,1090,654,190,30,1,1,0
Codestral-Latest (easy),278,75.54,8.18,1202,82.98,16.42,4564,3281,3209,582,782,275,237,36,4,0,1,0
Codestral-Latest (medium),329,27.66,9.33,2295,74.6,25.79,8433,6112,5971,935,1549,460,227,87,15,0,0,0
Codestral-Latest (hard),269,5.2,8.36,1663,68.33,33.91,8986,6736,6582,727,1705,355,190,67,11,1,0,0
DSCoder-1.3b-Ins,704,9.38,8.41,3673,76.85,11.36,7973,6652,6599,471,903,769,555,134,13,2,0,0
DSCoder-1.3b-Ins (easy),234,24.36,7.09,936,80.36,10.55,2457,1983,1968,181,308,235,209,23,2,0,0,0
DSCoder-1.3b-Ins (medium),279,3.23,9.9,1881,74.83,11.66,3252,2781,2754,191,307,350,193,75,9,2,0,0
DSCoder-1.3b-Ins (hard),191,0,7.44,856,75.48,11.92,2264,1888,1877,99,288,184,153,36,2,0,0,0
DSCoder-33b-Ins,709,27.93,8.56,4348,72.9,16.48,11637,9519,9413,657,1568,896,509,173,27,0,0,0
DSCoder-33b-Ins (easy),238,60.5,7.85,965,81.11,11.74,2794,2201,2167,243,384,228,203,31,4,0,0,0
DSCoder-33b-Ins (medium),276,18.48,8.88,1980,69.87,16.75,4623,3862,3819,230,575,402,193,72,11,0,0,0
DSCoder-33b-Ins (hard),195,1.54,8.66,1403,67.1,21.98,4220,3456,3427,184,609,266,113,70,12,0,0,0
DSCoder-6.7b-Ins,708,19.92,9.28,5394,69.88,18.23,12816,10420,10285,818,1726,1008,471,187,44,4,0,2
DSCoder-6.7b-Ins (easy),238,45.38,7.58,1106,80.91,12.68,3017,2291,2258,300,461,257,200,35,3,0,0,0
DSCoder-6.7b-Ins (medium),277,11.55,10.12,2602,66.22,18.97,5235,4355,4292,318,631,444,173,78,21,3,0,2
DSCoder-6.7b-Ins (hard),193,0.52,9.47,1686,61.32,24.15,4564,3774,3735,200,634,307,98,74,20,1,0,0
DeepCoder-14B-Preview,858,75.17,14.38,8573,67.46,37.77,31838,22454,22090,4774,5356,1062,441,235,150,23,5,4
DeepCoder-14B-Preview (easy),277,94.95,10.2,1316,73.42,15.32,4198,3536,3482,298,465,251,220,52,5,0,0,0
DeepCoder-14B-Preview (medium),322,78.88,14.96,3711,66.63,37.16,11818,8217,8126,1960,1872,439,141,102,71,7,1,0
DeepCoder-14B-Preview (hard),259,49.42,16.19,3546,62.02,63.04,15822,10701,10482,2516,3019,372,80,81,74,16,4,4
DeepSeek-R1-0528,1055,84.64,13.4,12908,54.31,34.44,34686,30836,30432,22,4246,1604,470,297,208,53,14,13
DeepSeek-R1-0528 (easy),322,99.38,6.5,1958,65.12,14.39,4620,4156,4120,5,500,436,239,70,13,0,0,0
DeepSeek-R1-0528 (medium),383,91.12,13.09,4660,54.18,29.44,10953,9675,9573,4,1380,595,140,146,82,14,1,0
DeepSeek-R1-0528 (hard),350,64,20.56,6290,43.36,60.87,19113,17005,16739,13,2366,573,91,81,113,39,13,13
DeepSeek-R1-Lite-Preview,841,65.99,11.44,7948,70.79,32.7,26619,20906,20600,2895,3433,1176,422,275,127,14,2,1
DeepSeek-R1-Lite-Preview (easy),278,96.04,8.64,1452,77.86,16.68,4621,3563,3524,562,594,294,212,58,7,1,0,0
DeepSeek-R1-Lite-Preview (medium),326,67.79,11.53,3505,70.4,33.44,10466,8170,8041,1161,1390,518,139,125,58,3,1,0
