Metric,Pearson Correlation,Pearson P-value,Spearman Correlation,Spearman P-value,Samples,Normalized,Significant (p<0.05)
Total SLOC,0.8282,0.0,0.8269,0.0,58,Yes,Yes
Total LLOC,0.8254,0.0,0.8216,0.0,58,Yes,Yes
Grade C,0.8102,0.0,0.8192,0.0,58,Yes,Yes
Total Complexity,0.8018,0.0,0.828,0.0,58,Yes,Yes
Avg Complexity,0.7937,0.0,0.7702,0.0,58,No,Yes
Grade D,0.7588,0.0,0.801,0.0,58,Yes,Yes
Grade A,-0.7391,0.0,-0.7582,0.0,58,Yes,Yes
Grade E,0.6389,0.0,0.6973,0.0,58,Yes,Yes
Avg LOC,0.6068,0.0,0.7374,0.0,58,No,Yes
Total LOC,0.5977,0.0,0.7232,0.0,58,Yes,Yes
Grade F,0.5552,0.0,0.6353,0.0,58,Yes,Yes
Avg Maintainability Index,-0.3866,0.0027,-0.3656,0.0048,58,No,Yes
Total Blank,0.3416,0.0087,0.3422,0.0086,58,Yes,Yes
Total Comments,0.3347,0.0102,0.2095,0.1145,58,Yes,Yes
Total Functions,0.2216,0.0945,0.2089,0.1156,58,Yes,No
Grade B,0.1544,0.2471,0.0764,0.5689,58,Yes,No
