LLM,Total Codes,Correctness Rate (%),Avg Issues Per Code,Total Issues,Severity: Blocker,Severity: Critical,Severity: Major,Severity: Minor,Severity: Info,Type: Bug,Type: Vulnerability,Type: Code Smell,Type: Security Hotspot,Attribute: Consistency,Attribute: Intentionality,Attribute: Adaptability,Attribute: Responsibility,SQ Security: Blocker,SQ Security: High,SQ Security: Medium,SQ Security: Low,SQ Security: Info,SQ Reliability: Blocker,SQ Reliability: High,SQ Reliability: Medium,SQ Reliability: Low,SQ Reliability: Info,SQ Maintainability: Blocker,SQ Maintainability: High,SQ Maintainability: Medium,SQ Maintainability: Low,SQ Maintainability: Info
AzeroGPT-64b,815,23.19,1.54,1259,16,166,192,885,0,99,0,1160,0,0,0,0,0,0,0,0,0,0,16,59,24,0,0,0,107,152,901,0
AzeroGPT-64b (easy),271,57.56,0.72,194,1,31,16,146,0,23,0,171,0,0,0,0,0,0,0,0,0,0,1,21,1,0,0,0,10,12,149,0
AzeroGPT-64b (medium),308,10.71,1.64,504,5,57,82,360,0,29,0,475,0,0,0,0,0,0,0,0,0,0,5,16,8,0,0,0,41,70,364,0
AzeroGPT-64b (hard),236,0,2.38,561,10,78,94,379,0,47,0,514,0,0,0,0,0,0,0,0,0,0,10,22,15,0,0,0,56,70,388,0
Claude-3-Haiku,1055,22.18,1.17,1230,12,228,74,916,0,135,0,1095,0,0,0,0,0,0,0,0,0,0,12,118,5,2,0,0,110,69,914,0
Claude-3-Haiku (easy),322,60.25,0.71,230,6,45,10,169,0,45,0,185,0,0,0,0,0,0,0,0,0,0,6,37,2,1,0,0,8,8,168,0
Claude-3-Haiku (medium),383,8.88,1.25,479,4,85,29,361,0,42,0,437,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0,47,29,361,0
Claude-3-Haiku (hard),350,1.71,1.49,521,2,98,35,386,0,48,0,473,0,0,0,0,0,0,0,0,0,0,2,43,3,1,0,0,55,32,385,0
Claude-3.5-Sonnet-20240620,880,48.52,1.24,1094,0,168,55,871,0,82,0,1012,0,0,0,0,0,0,0,0,0,0,0,79,3,2,0,0,89,51,870,0
Claude-3.5-Sonnet-20240620 (easy),279,87.46,0.72,202,0,20,5,177,0,19,0,183,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,2,4,177,0
Claude-3.5-Sonnet-20240620 (medium),331,47.13,1.29,427,0,53,19,355,0,22,0,405,0,0,0,0,0,0,0,0,0,0,0,20,2,1,0,0,33,17,354,0
Claude-3.5-Sonnet-20240620 (hard),270,10,1.72,465,0,95,31,339,0,41,0,424,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,54,30,339,0
Claude-3.5-Sonnet-20241022,1055,48.91,1.35,1420,5,378,93,944,0,170,0,1250,0,0,0,0,0,0,0,0,0,0,4,159,7,0,0,1,219,83,947,0
Claude-3.5-Sonnet-20241022 (easy),322,93.17,0.74,237,1,68,6,162,0,61,0,176,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,1,7,6,162,0
Claude-3.5-Sonnet-20241022 (medium),383,44.91,1.39,533,0,118,34,381,0,41,0,492,0,0,0,0,0,0,0,0,0,0,0,37,4,0,0,0,81,30,381,0
Claude-3.5-Sonnet-20241022 (hard),350,12.57,1.86,650,4,192,53,401,0,68,0,582,0,0,0,0,0,0,0,0,0,0,4,61,3,0,0,0,131,47,404,0
Claude-3.7-Sonnet,1055,63.51,1.43,1506,0,335,47,1124,0,121,0,1385,0,0,0,0,0,0,0,0,0,0,0,120,1,5,0,0,215,46,1119,0
Claude-3.7-Sonnet (easy),322,98.45,0.81,261,0,53,8,200,0,45,0,216,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,8,8,200,0
Claude-3.7-Sonnet (medium),383,68.67,1.42,545,0,107,12,426,0,32,0,513,0,0,0,0,0,0,0,0,0,0,0,32,0,1,0,0,75,12,425,0
Claude-3.7-Sonnet (hard),350,25.71,2,700,0,175,27,498,0,44,0,656,0,0,0,0,0,0,0,0,0,0,0,43,1,4,0,0,132,26,494,0
Claude-Opus-4,1042,63.15,1.13,1181,0,402,67,712,0,201,0,980,0,0,0,0,0,0,0,0,0,0,0,198,3,0,0,0,204,64,712,0
Claude-Opus-4 (easy),322,96.27,0.74,238,0,82,10,146,0,75,0,163,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,7,10,146,0
Claude-Opus-4 (medium),383,69.19,1.17,449,0,125,29,295,0,57,0,392,0,0,0,0,0,0,0,0,0,0,0,56,1,0,0,0,69,28,295,0
Claude-Opus-4 (hard),337,24.63,1.47,494,0,195,28,271,0,69,0,425,0,0,0,0,0,0,0,0,0,0,0,67,2,0,0,0,128,26,271,0
Claude-Opus-4 (Thinking),1052,70.63,0.98,1027,0,337,40,650,0,195,0,832,0,0,0,0,0,0,0,0,0,0,0,193,2,1,0,0,144,38,649,0
Claude-Opus-4 (Thinking) (easy),322,99.07,0.69,223,0,66,4,153,0,64,0,159,0,0,0,0,0,0,0,0,0,0,0,63,1,0,0,0,3,3,153,0
Claude-Opus-4 (Thinking) (medium),382,80.63,0.98,373,0,98,14,261,0,52,0,321,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,46,14,260,0
Claude-Opus-4 (Thinking) (hard),348,33.33,1.24,431,0,173,22,236,0,79,0,352,0,0,0,0,0,0,0,0,0,0,0,78,1,0,0,0,95,21,236,0
Claude-Sonnet-4,1048,59.83,1.13,1188,0,390,85,713,0,198,0,990,0,0,0,0,0,0,0,0,0,0,0,194,4,0,0,0,196,81,713,0
Claude-Sonnet-4 (easy),322,96.27,0.68,220,0,70,5,145,0,65,0,155,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,5,5,145,0
Claude-Sonnet-4 (medium),383,63.97,1.29,494,0,129,40,325,0,58,0,436,0,0,0,0,0,0,0,0,0,0,0,57,1,0,0,0,72,39,325,0
Claude-Sonnet-4 (hard),343,20.99,1.38,474,0,191,40,243,0,75,0,399,0,0,0,0,0,0,0,0,0,0,0,72,3,0,0,0,119,37,243,0
Claude-Sonnet-4 (Thinking),1054,68.6,1,1055,4,351,54,646,0,187,0,868,0,0,0,0,0,0,0,0,0,0,2,182,3,4,0,2,169,51,642,0
Claude-Sonnet-4 (Thinking) (easy),322,98.76,0.7,225,2,66,7,150,0,64,0,161,0,0,0,0,0,0,0,0,0,0,0,62,2,0,0,2,4,5,150,0
Claude-Sonnet-4 (Thinking) (medium),383,75.98,1.09,418,0,111,19,288,0,57,0,361,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,54,19,288,0
Claude-Sonnet-4 (Thinking) (hard),349,32.66,1.18,412,2,174,28,208,0,66,0,346,0,0,0,0,0,0,0,0,0,0,2,63,1,4,0,0,111,27,204,0
Codestral-Latest,876,35.96,1.12,983,0,78,122,783,0,18,0,965,0,0,0,0,0,0,0,0,0,0,0,14,4,0,0,0,64,117,784,0
Codestral-Latest (easy),278,75.54,0.65,181,0,12,15,154,0,9,0,172,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,4,14,154,0
Codestral-Latest (medium),329,27.66,1.16,381,0,31,40,310,0,2,0,379,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,30,38,311,0
Codestral-Latest (hard),269,5.2,1.57,421,0,35,67,319,0,7,0,414,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,30,65,319,0
DSCoder-1.3b-Ins,704,9.38,0.81,569,1,68,42,458,0,56,0,513,0,0,0,0,0,0,0,0,0,0,1,48,7,0,0,0,20,35,458,0
DSCoder-1.3b-Ins (easy),234,24.36,0.77,181,1,34,6,140,0,35,0,146,0,0,0,0,0,0,0,0,0,0,1,32,2,0,0,0,2,4,140,0
DSCoder-1.3b-Ins (medium),279,3.23,0.94,261,0,24,19,218,0,14,0,247,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,13,16,218,0
DSCoder-1.3b-Ins (hard),191,0,0.66,127,0,10,17,100,0,7,0,120,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,5,15,100,0
DSCoder-33b-Ins,709,27.93,0.96,684,0,135,30,519,0,97,0,587,0,0,0,0,0,0,0,0,0,0,0,96,1,1,0,0,39,29,518,0
DSCoder-33b-Ins (easy),238,60.5,0.67,160,0,26,2,132,0,22,0,138,0,0,0,0,0,0,0,0,0,0,0,22,0,1,0,0,4,2,131,0
DSCoder-33b-Ins (medium),276,18.48,1.1,304,0,50,17,237,0,37,0,267,0,0,0,0,0,0,0,0,0,0,0,36,1,0,0,0,14,16,237,0
DSCoder-33b-Ins (hard),195,1.54,1.13,220,0,59,11,150,0,38,0,182,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,21,11,150,0
DSCoder-6.7b-Ins,708,19.92,1.07,755,1,92,47,615,0,40,0,715,0,0,0,0,0,0,0,0,0,0,1,35,4,0,0,0,57,43,615,0
DSCoder-6.7b-Ins (easy),238,45.38,0.69,164,0,11,6,147,0,9,0,155,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,2,6,147,0
DSCoder-6.7b-Ins (medium),277,11.55,1.26,349,0,43,18,288,0,19,0,330,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,25,17,288,0
DSCoder-6.7b-Ins (hard),193,0.52,1.25,242,1,38,23,180,0,12,0,230,0,0,0,0,0,0,0,0,0,0,1,8,3,0,0,0,30,20,180,0
DeepCoder-14B-Preview,70,82.86,18.04,1263,3,299,239,722,0,54,0,1209,0,0,0,0,0,0,0,0,0,0,2,45,7,0,0,1,254,232,722,0
DeepCoder-14B-Preview (easy),24,95.83,9.17,220,1,44,22,153,0,30,0,190,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,1,14,22,153,0
DeepCoder-14B-Preview (medium),35,80,13.66,478,0,111,74,293,0,14,0,464,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,99,72,293,0
DeepCoder-14B-Preview (hard),11,63.64,51.36,565,2,144,143,276,0,10,0,555,0,0,0,0,0,0,0,0,0,0,2,3,5,0,0,0,141,138,276,0
DeepSeek-R1-0528,1055,84.64,1.55,1639,0,482,129,1028,0,127,0,1512,0,0,0,0,0,0,0,0,0,0,0,113,14,2,0,0,369,114,1027,0
DeepSeek-R1-0528 (easy),322,99.38,0.92,295,0,104,10,181,0,94,0,201,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,10,10,181,0
DeepSeek-R1-0528 (medium),383,91.12,1.31,503,0,131,27,345,0,11,0,492,0,0,0,0,0,0,0,0,0,0,0,9,2,2,0,0,122,25,343,0
DeepSeek-R1-0528 (hard),350,64,2.4,841,0,247,92,502,0,22,0,819,0,0,0,0,0,0,0,0,0,0,0,10,12,0,0,0,237,79,503,0
DeepSeek-R1-Lite-Preview,841,65.99,1.78,1501,1,248,282,970,0,44,0,1457,0,0,0,0,0,0,0,0,0,0,0,35,9,1,0,1,213,273,969,0
DeepSeek-R1-Lite-Preview (easy),278,96.04,0.82,229,0,46,24,159,0,34,0,195,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,12,24,159,0
DeepSeek-R1-Lite-Preview (medium),326,67.79,1.97,641,1,85,122,433,0,7,0,634,0,0,0,0,0,0,0,0,0,0,0,1,6,1,0,1,84,116,432,0
DeepSeek-R1-Lite-Preview (hard),237,28.27,2.66,631,0,117,136,378,0,3,0,628,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,117,133,378,0
DeepSeek-R1-Preview,878,78.59,1.43,1256,1,302,200,753,0,74,0,1182,0,0,0,0,0,0,0,0,0,0,0,70,4,3,0,1,232,194,752,0
DeepSeek-R1-Preview (easy),279,99.28,0.7,194,1,54,9,130,0,48,0,146,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,1,6,9,130,0
DeepSeek-R1-Preview (medium),331,84.89,1.42,471,0,97,57,317,0,18,0,453,0,0,0,0,0,0,0,0,0,0,0,17,1,2,0,0,80,56,315,0
DeepSeek-R1-Preview (hard),268,49.25,2.21,591,0,151,134,306,0,8,0,583,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,0,146,129,307,0
DeepSeek-V3,961,54.63,1.63,1563,0,286,286,991,0,51,0,1512,0,0,0,0,0,0,0,0,0,0,0,47,4,0,0,0,239,282,991,0
DeepSeek-V3 (easy),309,86.41,0.88,273,0,54,44,175,0,39,0,234,0,0,0,0,0,0,0,0,0,0,0,37,2,0,0,0,17,42,175,0
DeepSeek-V3 (medium),353,57.22,1.87,659,0,93,102,464,0,6,0,653,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,88,101,464,0
DeepSeek-V3 (hard),299,18.73,2.11,631,0,139,140,352,0,6,0,625,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,134,139,352,0
DeepSeek-V3 copy,856,56.89,1.57,1340,0,232,274,834,0,39,0,1301,0,0,0,0,0,0,0,0,0,0,0,37,2,1,0,0,195,272,833,0
DeepSeek-V3 copy (easy),279,88.89,0.88,245,0,42,39,164,0,34,0,211,0,0,0,0,0,0,0,0,0,0,0,33,1,1,0,0,9,38,163,0
DeepSeek-V3 copy (medium),322,59.01,1.72,555,0,81,96,378,0,4,0,551,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,77,96,378,0
DeepSeek-V3 copy (hard),255,19.22,2.12,540,0,109,139,292,0,1,0,539,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,109,138,292,0
EXAONE-4.0-32B,1052,81.37,1.6,1679,1,447,143,1088,0,65,0,1614,0,0,0,0,0,0,0,0,0,0,0,59,6,2,0,1,388,135,1088,0
EXAONE-4.0-32B (easy),322,98.76,0.84,270,1,73,18,178,0,56,0,214,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,1,17,18,178,0
EXAONE-4.0-32B (medium),382,88.48,1.55,593,0,134,48,411,0,5,0,588,0,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,132,45,409,0
EXAONE-4.0-32B (hard),348,57.47,2.34,816,0,240,77,499,0,4,0,812,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,239,72,501,0
GPT-4-0613,713,34.08,0.74,531,0,98,24,409,0,48,0,483,0,0,0,0,0,0,0,0,0,0,0,47,1,0,0,0,51,23,409,0
GPT-4-0613 (easy),238,74.37,0.6,142,0,25,1,116,0,22,0,120,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,1,116,0
GPT-4-0613 (medium),279,22.58,0.85,236,0,34,14,188,0,17,0,219,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,0,18,13,188,0
GPT-4-0613 (hard),196,1.53,0.78,153,0,39,9,105,0,9,0,144,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,30,9,105,0
GPT-4-Turbo-1106,713,37.45,1.29,923,3,98,59,763,0,53,0,870,0,0,0,0,0,0,0,0,0,0,2,48,3,1,0,1,50,56,762,0
GPT-4-Turbo-1106 (easy),238,78.57,0.78,185,1,22,8,154,0,20,0,165,0,0,0,0,0,0,0,0,0,0,0,19,1,0,0,1,3,7,154,0
GPT-4-Turbo-1106 (medium),279,26.16,1.37,382,0,35,26,321,0,10,0,372,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,25,26,320,0
GPT-4-Turbo-1106 (hard),196,3.57,1.82,356,2,41,25,288,0,23,0,333,0,0,0,0,0,0,0,0,0,0,2,19,2,0,0,0,22,23,288,0
GPT-4-Turbo-2024-04-09,1055,37.35,1.45,1533,0,229,380,924,0,14,0,1519,0,0,0,0,0,0,0,0,0,0,0,10,4,0,0,0,219,374,926,0
GPT-4-Turbo-2024-04-09 (easy),322,81.68,1.02,328,0,20,91,217,0,10,0,318,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,12,89,217,0
GPT-4-Turbo-2024-04-09 (medium),383,30.81,1.57,601,0,92,124,385,0,2,0,599,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,91,123,385,0
GPT-4-Turbo-2024-04-09 (hard),350,3.71,1.73,604,0,117,165,322,0,2,0,602,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,116,162,324,0
GPT-4O-2024-05-13,880,44.09,1.53,1350,0,101,153,1096,0,8,0,1342,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,93,151,1096,0
GPT-4O-2024-05-13 (easy),279,88.53,1.03,287,0,12,34,241,0,7,0,280,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,5,34,241,0
GPT-4O-2024-05-13 (medium),331,38.07,1.69,561,0,39,56,466,0,1,0,560,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,38,56,465,0
GPT-4O-2024-05-13 (hard),270,5.56,1.86,502,0,50,63,389,0,0,0,502,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,50,61,390,0
GPT-4O-2024-08-06,1047,38.4,1.78,1861,0,172,507,1182,0,6,0,1855,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,168,503,1183,0
GPT-4O-2024-08-06 (easy),322,84.47,1.39,447,0,13,138,296,0,4,0,443,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,11,136,296,0
GPT-4O-2024-08-06 (medium),383,30.29,1.79,687,0,56,144,487,0,1,0,686,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,55,144,487,0
GPT-4O-2024-08-06 (hard),342,4.09,2.13,727,0,103,225,399,0,1,0,726,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,102,223,400,0
GPT-4O-mini-2024-07-18,1054,35.2,2.07,2181,0,161,369,1651,0,7,0,2174,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,0,157,366,1649,0
